2000 5 4
0.000000 0.000000 0.000177 0.034706
0.000000 0.000000 0.000114 0.000828
-0.000000 0.000000 0.004134 0.197774
-0.000000 0.000001 0.093649 0.668579
-0.000000 0.000000 0.000011 0.000026
-0.000000 -0.000000 0.000000 0.001715
0.000000 0.000000 0.000001 0.007038
-0.000000 0.000000 0.000009 0.490637
-0.000000 0.000000 0.000026 0.203759
0.000000 0.000000 0.000115 0.296700
0.000000 0.000278 0.000523 0.009403
-0.000000 0.000300 0.000532 0.000352
-0.000000 0.004701 0.036598 0.160161
0.000000 0.007886 0.457476 0.298773
0.000000 0.000665 0.018467 0.003884
-0.000000 0.000000 0.000000 0.978682
0.000000 0.000000 0.000000 0.000266
-0.000000 -0.000000 0.000000 0.013002
-0.000000 0.000000 0.000000 0.007838
-0.000000 0.000000 0.000000 0.000212
0.000000 0.000000 0.000478 0.978074
0.000000 0.000000 0.000004 0.000266
-0.000000 0.000000 0.000026 0.012994
-0.000000 0.000000 0.000105 0.007833
-0.000000 0.000000 0.000009 0.000212
0.000000 0.000278 0.004118 0.531929
0.000000 0.000046 0.000637 0.003032
0.000000 0.000099 0.006064 0.190801
-0.000000 0.000096 0.043769 0.205513
-0.000000 0.000025 0.005411 0.008183
0.000000 0.000327 0.002664 0.002027
0.000000 0.002206 0.016955 0.000475
-0.000000 0.007075 0.238558 0.044209
-0.000000 0.001640 0.412061 0.011396
-0.000000 0.002127 0.255999 0.002280
0.000000 0.001529 0.000941 0.000032
0.000000 0.584807 0.339279 0.000419
0.000000 0.012693 0.032309 0.000264
-0.000000 0.001310 0.024853 0.000030
0.000000 0.000152 0.001381 0.000001
0.000000 0.000005 0.005715 0.922220
-0.000000 0.000001 0.000758 0.004506
-0.000000 0.000000 0.000863 0.033911
-0.000000 0.000000 0.004231 0.024816
0.000000 0.000000 0.001029 0.001944
0.000000 0.042330 0.102916 0.805025
0.000000 0.000332 0.000760 0.000219
-0.000000 0.000558 0.005613 0.010695
-0.000000 0.000303 0.022673 0.006447
-0.000000 0.000053 0.001902 0.000174
0.000000 0.001805 0.000048 0.000000
0.000000 0.056209 0.001397 0.000000
-0.000000 0.267594 0.029169 0.000001
0.000000 0.317740 0.258110 0.000002
-0.000000 0.048901 0.019025 0.000000
0.000000 0.006454 0.000000 -0.000000
0.000000 0.617428 0.000016 0.000000
0.000000 0.158733 0.000018 0.000000
-0.000000 0.208546 0.000171 0.000000
-0.000000 0.008631 0.000003 -0.000000
-0.000000 0.000864 0.000000 0.000000
-0.000000 0.841425 0.000154 0.000000
-0.000000 0.148489 0.000119 0.000000
-0.000000 0.008890 0.000053 0.000000
-0.000000 0.000005 0.000000 -0.000000
-0.000000 0.000006 0.001026 0.012443
0.000000 0.000027 0.004271 0.001909
-0.000000 0.000042 0.028527 0.084304
-0.000000 0.000118 0.598068 0.263768
-0.000000 0.000002 0.004807 0.000683
0.000000 0.001651 0.000000 0.000000
-0.000000 0.954055 0.000209 0.000000
-0.000000 0.030985 0.000030 0.000000
0.000000 0.012966 0.000093 0.000000
0.000000 0.000012 0.000000 0.000000
-0.000000 0.798263 0.091969 0.000015
-0.000000 0.001039 0.000113 0.000000
0.000000 0.025998 0.012388 0.000001
0.000000 0.015229 0.054077 0.000000
-0.000000 0.000336 0.000572 0.000000
-0.000000 0.000058 0.018272 0.949303
-0.000000 0.000000 0.000008 0.000016
-0.000000 0.000001 0.001813 0.022948
-0.000000 0.000000 0.002198 0.004151
-0.000000 0.000000 0.000766 0.000466
0.000000 0.000000 0.000000 0.038111
0.000000 -0.000000 0.000000 0.000810
0.000000 0.000000 0.000003 0.227547
-0.000000 0.000000 0.000070 0.730665
0.000000 0.000000 0.000001 0.002793
0.000000 0.000000 0.000003 0.000000
-0.000000 0.000470 0.005464 0.000000
-0.000000 0.001226 0.062506 0.000000
0.000000 0.000070 0.026418 0.000000
-0.000000 0.004939 0.898902 0.000000
0.000000 0.000058 0.001816 0.006346
-0.000000 0.000048 0.001396 0.000180
-0.000000 0.001193 0.153751 0.130851
0.000000 0.000561 0.538910 0.068447
0.000000 0.000201 0.092461 0.003782
0.000000 0.005767 0.003007 0.000592
-0.000000 0.003119 0.001533 0.000011
-0.000000 0.021891 0.047212 0.002262
0.000000 0.051433 0.826634 0.005911
0.000000 0.003514 0.027050 0.000062
0.000000 0.000000 0.000000 0.000000
0.000000 0.427006 0.004686 0.000000
0.000000 0.536047 0.025807 0.000002
0.000000 0.004729 0.001697 0.000000
-0.000000 0.000023 0.000004 0.000000
-0.000000 0.010375 0.051461 0.902720
-0.000000 0.000081 0.000380 0.000246
-0.000000 0.000137 0.002807 0.011993
-0.000000 0.000074 0.011337 0.007229
-0.000000 0.000013 0.000951 0.000195
0.000000 0.000039 0.000037 0.000376
-0.000000 0.004561 0.004164 0.001542
0.000000 0.010960 0.043905 0.107490
0.000000 0.004093 0.122179 0.044640
0.000000 0.038634 0.552380 0.065002
0.000000 0.000288 0.000894 0.019120
-0.000000 0.000198 0.000579 0.000456
-0.000000 0.001630 0.020909 0.108955
0.000000 0.004953 0.473620 0.368327
0.000000 0.000001 0.000057 0.000014
-0.000000 0.000000 0.000607 0.932741
0.000000 0.000000 0.000080 0.004558
0.000000 0.000000 0.000092 0.034298
0.000000 0.000000 0.000449 0.025100
0.000000 0.000000 0.000109 0.001966
-0.000000 0.000012 0.068569 0.000539
-0.000000 0.000002 0.010609 0.000003
-0.000000 0.000004 0.100975 0.000194
-0.000000 0.000004 0.728778 0.000208
-0.000000 0.000001 0.090092 0.000008
-0.000000 0.000393 0.000039 0.000000
-0.000000 0.120251 0.011299 0.000002
0.000000 0.059740 0.024628 0.000028
-0.000000 0.189808 0.583138 0.000100
-0.000000 0.004277 0.006294 0.000000
0.000000 0.004186 0.001774 0.001534
-0.000000 0.227243 0.090777 0.002891
0.000000 0.075600 0.132498 0.027906
-0.000000 0.018404 0.240379 0.007556
-0.000000 0.023126 0.144660 0.001464
-0.000000 0.000246 0.000359 0.000047
-0.000000 0.004581 0.006295 0.000030
0.000000 0.011581 0.069823 0.002212
0.000000 0.019561 0.878879 0.004154
0.000000 0.000099 0.002130 0.000003
0.000000 0.023807 0.000625 0.000000
-0.000000 0.452807 0.011208 0.000000
-0.000000 0.104961 0.011398 0.000002
-0.000000 0.216284 0.175034 0.000004
-0.000000 0.002788 0.001080 0.000000
0.000000 0.002421 0.001584 0.002355
-0.000000 0.001663 0.001026 0.000056
-0.000000 0.013694 0.037066 0.013418
-0.000000 0.041626 0.839619 0.045359
0.000000 0.000010 0.000101 0.000002
0.000000 0.000000 0.000063 0.000000
0.000000 0.000022 0.018066 0.000001
-0.000000 0.000011 0.039376 0.000008
0.000000 0.000034 0.932328 0.000029
-0.000000 0.000001 0.010062 0.000000
0.000000 0.000036 0.000015 0.000058
-0.000000 0.112986 0.043064 0.006335
-0.000000 0.030723 0.051375 0.049970
0.000000 0.046171 0.575367 0.083518
0.000000 0.000053 0.000314 0.000015
0.000000 0.000000 0.000003 0.000000
0.000000 0.000009 0.005501 0.000000
0.000000 0.000025 0.062919 0.000006
-0.000000 0.000001 0.026593 0.000000
0.000000 0.000099 0.904840 0.000004
0.000000 0.000455 0.000038 0.000000
0.000000 0.516071 0.040229 0.000004
0.000000 0.098359 0.033639 0.000024
0.000000 0.087260 0.222398 0.000023
-0.000000 0.000676 0.000825 0.000000
-0.000000 0.037917 0.011591 0.000321
0.000000 0.268061 0.077251 0.000079
-0.000000 0.161216 0.203834 0.001375
0.000000 0.014401 0.135687 0.000137
-0.000000 0.015983 0.072124 0.000023
-0.000000 0.000000 0.000000 0.000000
0.000000 0.283663 0.048810 0.000035
-0.000000 0.343979 0.259680 0.001217
0.000000 0.001891 0.010641 0.000007
-0.000000 0.013553 0.036516 0.000008
-0.000000 0.000445 0.001101 0.014189
-0.000000 0.000272 0.000635 0.000301
-0.000000 0.002639 0.026999 0.084720
0.000000 0.007619 0.580913 0.272041
-0.000000 0.000189 0.006895 0.001040
-0.000000 0.000000 0.000027 0.971734
0.000000 0.000000 0.000000 0.000016
-0.000000 0.000000 0.000003 0.023490
0.000000 0.000000 0.000003 0.004249
-0.000000 -0.000000 0.000001 0.000477
-0.000000 0.000020 0.000349 0.000478
0.000000 0.004974 0.081876 0.004130
-0.000000 0.002446 0.176640 0.058921
-0.000000 0.001107 0.595695 0.029654
-0.000000 0.000166 0.042857 0.000687
-0.000000 0.001944 0.006538 0.373775
0.000000 0.004682 0.014847 0.031265
-0.000000 0.001447 0.020132 0.280331
-0.000000 0.000783 0.081129 0.168592
-0.000000 0.000173 0.008604 0.005758
0.000000 0.000226 0.008456 0.916329
-0.000000 0.000032 0.001122 0.004478
-0.000000 0.000008 0.001276 0.033694
-0.000000 0.000005 0.006259 0.024658
-0.000000 0.000003 0.001522 0.001932
-0.000000 0.000000 0.000000 0.000000
-0.000000 0.001278 0.002626 0.001981
-0.000000 0.010740 0.096766 0.482739
-0.000000 0.001554 0.104347 0.077688
0.000000 0.005390 0.173329 0.041562
0.000000 0.005849 0.002450 0.011746
-0.000000 0.003164 0.001249 0.000221
-0.000000 0.022200 0.038460 0.044913
-0.000000 0.052159 0.673395 0.117358
-0.000000 0.003564 0.022036 0.001237
0.000000 0.001236 0.000291 0.000864
-0.000000 0.451527 0.100311 0.010959
0.000000 0.074563 0.072676 0.052502
0.000000 0.025563 0.185682 0.020018
0.000000 0.000828 0.002880 0.000100
-0.000000 0.000006 0.000051 0.000000
0.000000 0.000764 0.005706 0.000000
-0.000000 0.001835 0.060162 0.000002
0.000000 0.000685 0.167416 0.000001
0.000000 0.006468 0.756902 0.000001
-0.000000 0.012600 0.001222 0.000010
-0.000000 0.007708 0.000704 0.000000
0.000000 0.074677 0.029944 0.000058
-0.000000 0.215610 0.644292 0.000185
0.000000 0.005343 0.007647 0.000001
0.000000 0.000000 0.001029 0.946806
0.000000 0.000000 0.000001 0.000043
-0.000000 0.000000 0.000139 0.031065
-0.000000 0.000000 0.000605 0.020237
0.000000 0.000000 0.000006 0.000069
-0.000000 0.000000 0.000000 -0.000000
0.000000 0.366601 0.023168 0.000002
-0.000000 0.444552 0.123262 0.000069
-0.000000 0.002445 0.005051 0.000000
-0.000000 0.017515 0.017333 0.000000
-0.000000 0.000000 0.000001 0.002818
0.000000 0.000000 0.000019 0.003048
-0.000000 0.000000 0.000393 0.420927
0.000000 0.000000 0.003478 0.555864
0.000000 0.000000 0.000256 0.013196
-0.000000 0.004232 0.002092 0.011694
0.000000 0.080494 0.037504 0.007724
0.000000 0.018658 0.038141 0.051940
0.000000 0.038448 0.585695 0.119032
-0.000000 0.000496 0.003615 0.000237
-0.000000 0.000000 0.000003 0.000000
0.000000 0.000176 0.005488 0.000000
-0.000000 0.000458 0.062771 0.000000
0.000000 0.000026 0.026530 0.000000
0.000000 0.001847 0.902702 0.000000
-0.000000 0.000003 0.003392 0.000099
-0.000000 0.000277 0.336367 0.000363
0.000000 0.000023 0.122794 0.000876
0.000000 0.000013 0.497930 0.000530
